Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL,MyHome_Address,MyHome_Asking_Price,MyHome_Beds,MyHome_Baths,MyHome_Floor_Area_Value,MyHome_BER_Rating,MyHome_BER_Number,MyHome_Energy_Performance_Indicator,MyHome_Latitude,MyHome_Longitude,MyHome_Monthly_Price,MyHome_Floor_Area_Unit,MyHome_Publish_Date,MyHome_Sale_Type,MyHome_Category,MyHome_Featured_Level,MyHome_Link,Sale Price,Sale Date,First List Price,First List Date,Cleaned Asking Price,Cleaned Local Property Tax,Latitude,Longitude,Price per Square Metre
"43 Hayestown, Rush, Co. Dublin, K56Y206","€365,000",2 Bed,1 Bath,Bungalow,D1,K56 Y206,€405,Leonard Wilson Keenan Estates & Letting Agents,Richard Todd,"Sold, €453,000, Thu Sep 12 2024; Unlisted, €365,000, Wed Feb 28 2024; Created, €365,000, Tue Feb 20 2024",https://mynest.ie/listing/116836/Dublin/43-hayestown-rush-co-dublin-k56y206,,,,,,,,,,,,,,,,,,453000.0,2024-09-12,365000.0,2024-02-20,365000.0,405.0,,,
"Apartment 37. Alen Hall, Belgard Square, Tallaght, Dublin 24, D24DH79","€260,000",2 Bed,2 Bath,Apartment,C3,D24 DH79,€225,Leonard Wilson Keenan Estates & Letting Agents,Michael Dunne,"Sold, €270,000, Fri Jun 28 2024; Unlisted, €260,000, Mon Apr 22 2024; Created, €260,000, Fri Jan 05 2024",https://mynest.ie/listing/109441/Dublin/apartment-37-alen-hall-belgard-square-tallaght-dublin-24-d24dh79,,,,,,,,,53.2873996,-6.3751624,,,,,,,https://www.myhome.ie/residential/dublin/apartment-for-sale-in-dublin-24,270000.0,2024-06-28,260000.0,2024-01-05,260000.0,225.0,53.2873996,-6.3751624,
"Taramar, Middle Third, Dublin 5, D05X8N9","€750,000",4 Bed,1 Bath,End of Terrace,E2,D05 X8N9,€765,Hamill Estate Agents & Valuers,Hamill Estate Agents & Valuers,"Sold, €950,000, Fri Sep 13 2024; Sale Agreed, €750,000, Thu Jun 06 2024; Created, €750,000, Fri Apr 19 2024",https://mynest.ie/listing/126051/Dublin/taramar-middle-third-dublin-5-d05x8n9,"Taramar, Middle Third, Killester, Dublin 5",Sold,4 beds,,142.0,,,,53.3738569,-6.203371,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/taramar-middle-third-killester-dublin-5/4786863,950000.0,2024-09-13,750000.0,2024-04-19,750000.0,765.0,53.3738569,-6.203371,
"87 Haddington Road, Dublin 4, D04WP23","€990,000",5 Bed,3 Bath,Terrace,SI_666,D04 WP23,"€1,035",Turley Property Advisors,Susan Turley,"Sold, €1,010,000, Fri Sep 13 2024; Sale Agreed, €990,000, Tue Apr 30 2024; Relisted, €990,000, Thu Feb 08 2024; Sale Agreed, €990,000, Sat Oct 07 2023; Price Drop, €990,000, Wed Sep 27 2023; Created, €1,150,000, Fri Aug 25 2023",,"87 Haddington Road, Ballsbridge, Dublin 4",Sale Agreed,5 beds,3 baths,175.0,,,,53.3353854,-6.2398422,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/87-haddington-road-ballsbridge-dublin-4/4731627,1010000.0,2024-09-13,1150000.0,2023-08-25,990000.0,1035.0,53.3353854,-6.2398422,
"Apartment 79, The Northumberlands, Love Lane East, Dublin 2, D02X068","€410,000",2 Bed,1 Bath,Apartment,C1,D02 X068,€405,Owen Reilly,Owen Reilly Sales,"Sold, €480,000, Fri Sep 13 2024; Sale Agreed, €410,000, Mon Jul 01 2024; Created, €410,000, Wed Jun 05 2024",https://mynest.ie/listing/134218/Dublin/apartment-79-the-northumberlands-love-lane-east-dublin-2-d02x068,"79 The Northumberlands, Love Lane East, Mount Street Lower, Grand Canal Dk, Dublin 2",Sold,2 beds,,64.0,,,,53.3498053,-6.2603097,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/79-the-northumberlands-love-lane-east-mount-street-lower-grand-canal-dk-dublin-2/4803439,480000.0,2024-09-13,410000.0,2024-06-05,410000.0,405.0,53.3498053,-6.2603097,
"7 Parkside Heath, Clongriffin, Dublin 13, Dublin 13, D13WN3C","€535,000",3 Bed,3 Bath,Terrace,A3,D13 WN3C,€585,Sherry FitzGerald Sutton,Madeleine O'Connor,"Sold, €569,000, Fri Sep 13 2024; Unlisted, €535,000, Tue Jun 11 2024; Created, €535,000, Fri May 03 2024",https://mynest.ie/listing/128619/Dublin/7-parkside-heath-clongriffin-dublin-13-dublin-13-d13wn3c,"7 Parkside Heath, Balgriffin, Dublin 13",Sold,3 beds,3 baths,113.0,,,,53.4076529,-6.1634179,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/7-parkside-heath-balgriffin-dublin-13/4792923,569000.0,2024-09-13,535000.0,2024-05-03,535000.0,585.0,53.4076529,-6.1634179,
"5 Herbert Road, Blanchardstown, Blanchardstown, Dublin 15, D15A3TN","€400,000",2 Bed,1 Bath,Bungalow,D2,D15 A3TN,€405,Lloyd Daly & Associates Ltd.,Lloyd Daly & Associates - Sales,"Sold, €432,200, Fri Sep 13 2024; Sale Agreed, €400,000, Mon May 20 2024; Created, €400,000, Sat Feb 24 2024",https://mynest.ie/listing/117502/Dublin/5-herbert-road-blanchardstown-blanchardstown-dublin-15-d15a3tn,,,,,,,,,53.3876053,-6.3745625,,,,,,,https://www.myhome.ie/residential/dublin/sale-agreed-bungalow-in-dublin-15,432200.0,2024-09-13,400000.0,2024-02-24,400000.0,405.0,53.3876053,-6.3745625,
"Apartment 40, The Swift, Tassagard Greens, Saggart, Co. Dublin, D24KF58","€290,000",2 Bed,2 Bath,Apartment,B3,D24 KF58,€315,Smith & Butler Estates,Danny Butler,"Sold, €340,000, Fri Sep 13 2024; Sale Agreed, €290,000, Thu Jul 11 2024; Relisted, €290,000, Thu Apr 11 2024; Sale Agreed, €290,000, Fri Mar 15 2024; Created, €290,000, Thu Nov 23 2023",https://mynest.ie/listing/106324/Dublin/apartment-40-the-swift-tassagard-greens-saggart-co-dublin-d24kf58,,,,,,,,,53.2813933,-6.4406691,,,,,,,https://www.myhome.ie/priceregister/40-the-swift-tassagard-greens-saggart-co-dublin-d24kf58-1526211,340000.0,2024-09-13,290000.0,2023-11-23,290000.0,315.0,53.2813933,-6.4406691,
"31 Tibradden Grove, Dublin 12, D12P2X4","€355,000",3 Bed,1 Bath,Terrace,D1,D12 P2X4,€405,Byrne and Moore Property Consultants Limited,Bryne & Moore Property,"Sold, €390,000, Fri Sep 13 2024; Sale Agreed, €355,000, Mon Jun 24 2024; Relisted, €355,000, Fri May 31 2024; Sale Agreed, €355,000, Fri May 17 2024; Created, €355,000, Tue Feb 27 2024",,"14, Tibradden Grove, Greenpark, Walkinstown, Dublin 12",Sold,3 beds,,106.0,,,,53.3082284,-6.341920300000001,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/14-tibradden-grove-greenpark-walkinstown-dublin-12/4534324,390000.0,2024-09-13,355000.0,2024-02-27,355000.0,405.0,53.3082284,-6.341920300000001,
"Apartment 207, The Edges 1, Beacon South Quarter, Sandyford, Dublin 18, D18KX68","€375,000",2 Bed,2 Bath,Apartment,B3,D18 KX68,€405,Herbert & Lansdowne Estate Agents,Sales Department,"Sold, €387,000, Fri Sep 13 2024; Sale Agreed, €375,000, Tue Mar 19 2024; Created, €375,000, Mon Jan 08 2024",https://mynest.ie/listing/109892/Dublin/apartment-207-the-edges-1-beacon-south-quarter-sandyford-dublin-18-d18kx68,"207 The Edges 1, Beacon South Quarter, Sandyford, Dublin 18",Sold,2 beds,2 baths,64.0,,,,53.2779697,-6.2168677,0.0,m²,,,,,https://www.myhome.ie/residential/brochure/207-the-edges-1-beacon-south-quarter-sandyford-dublin-18/4766555,387000.0,2024-09-13,375000.0,2024-01-08,375000.0,405.0,53.2779697,-6.2168677,
