Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"Apt 2, 20a, Charleston Avenue, Dublin 6, D06EY19","€142,500",1 Bed,1 Bath,Apartment,--,D06 EY19,€90,BRG Gibson Auctions,BRG Gibson,"Sold, €145,000, Thu May 30 2024; Unlisted, €142,500, Thu Mar 28 2024; Price Drop, €142,500, Fri Mar 15 2024; Created, €165,000, Sat Mar 09 2024",https://mynest.ie/listing/119464/Dublin/apt-2-20a-charleston-avenue-dublin-6-d06ey19
"Apt 4, 20a, Charleston Avenue, Dublin 6, D06HX63","€165,000",1 Bed,1 Bath,Apartment,--,D06 HX63,€90,BRG Gibson Auctions,BRG Gibson,"Sold, €145,000, Wed May 29 2024; Unlisted, €165,000, Fri Mar 15 2024; Created, €165,000, Fri Jan 12 2024",https://mynest.ie/listing/110357/Dublin/apt-4-20a-charleston-avenue-dublin-6-d06hx63
"33 Boroimhe Hazel, Swords, Co. Dublin","€375,000",3 Bed,3 Bath,Terrace,C1,K67 RW08,€405,Morton & Flanagan Ltd.,James Morton,"Sold, €416,804, Sun Mar 31 2024; Sale Agreed, €375,000, Wed Feb 01 2023; Created, €375,000, Mon Dec 12 2022",https://mynest.ie/listing/51330/Dublin/33-boroimhe-hazel-swords-co-dublin
"9 Prospect Drive, Stocking Lane, Rathfarnham, Dublin 16, D16W1D0","€545,000",3 Bed,2 Bath,Semi-D,C1,D16 W1D0,€585,Vincent Finnegan,Colin Thomas,"Sold, €620,000, Fri Aug 02 2024; Unlisted, €545,000, Mon Jun 17 2024; Created, €545,000, Mon May 13 2024",https://mynest.ie/listing/129951/Dublin/9-prospect-drive-stocking-lane-rathfarnham-dublin-16-d16w1d0
"36 Elizabeth Street, Drumcondra, Dublin 3","€295,000",2 Bed,1 Bath,Terrace,E1,D03 X623,€315,Leonard Wilson Keenan Estates & Letting Agents,Multi Award Winning Team Richard Todd,"Sold, €328,000, Fri Aug 02 2024; Sale Agreed, €295,000, Thu Aug 03 2023; Created, €295,000, Mon Oct 24 2022",https://mynest.ie/listing/29418/Dublin/36-elizabeth-street-drumcondra-dublin-3
"27 Coolkill, Sandyford, Sandyford, Dublin 18, D18W6X9","€850,000",5 Bed,2 Bath,Detached,D2,D18 W6X9,€855,Mason Estates Dundrum,Sean Mason,"Sold, €820,000, Fri Aug 02 2024; Unlisted, €850,000, Tue May 21 2024; Created, €850,000, Tue Feb 20 2024",https://mynest.ie/listing/116814/Dublin/27-coolkill-sandyford-sandyford-dublin-18-d18w6x9
"25 Mount Temple Road, Dublin 7, Stoneybatter, Dublin 7, D07PR8A","€465,000",2 Bed,1 Bath,Terrace,E1,D07 PR8A,€495,The Property Shop,Sales,"Sold, €475,000, Fri Aug 02 2024; Sale Agreed, €465,000, Mon Jul 01 2024; Created, €465,000, Tue May 21 2024",https://mynest.ie/listing/131487/Dublin/25-mount-temple-road-dublin-7-stoneybatter-dublin-7-d07pr8a
"21 Portmarnock Crescent, Portmarnock, Co. Dublin, D13N9W0","€795,000",4 Bed,2 Bath,Detached,B2,D13 N9W0,€855,Corry Estates,Andrew Corry - BScHons MRICS MSCSI,"Sold, €870,000, Fri Aug 02 2024; Sale Agreed, €795,000, Thu Mar 21 2024; Created, €795,000, Sat Feb 24 2024",https://mynest.ie/listing/117512/Dublin/21-portmarnock-crescent-portmarnock-co-dublin-d13n9w0
"10 Vernon Wood, Clontarf, Dublin 3, D03X8P6","€500,000",2 Bed,1 Bath,Terrace,C2,D03 X8P6,€495,DNG Fairview,Wayne O'Brien,"Sold, €532,000, Fri Aug 02 2024; Unlisted, €500,000, Thu Aug 08 2024; Created, €500,000, Thu May 02 2024",https://mynest.ie/listing/128319/Dublin/10-vernon-wood-clontarf-dublin-3-d03x8p6
"Apartment 8, Slane House, Dublin 2, D02HY83","€475,000",2 Bed,2 Bath,Apartment,C2,D02 HY83,€495,Bespoke Estate Agents,Gavin Donovan,"Sold, €485,000, Thu Aug 01 2024; Sale Agreed, €475,000, Thu Mar 21 2024; Created, €475,000, Mon Feb 19 2024",https://mynest.ie/listing/116677/Dublin/apartment-8-slane-house-dublin-2-d02hy83
